iter	Accuracy	Logloss
0	0.8590755355	0.6543160492
1	0.8974069899	0.6233336616
2	0.8962795941	0.5937652089
3	0.892897407	0.5695360041
4	0.8827508455	0.5411211408
5	0.8883878241	0.5204917669
6	0.8974069899	0.5013970295
7	0.8974069899	0.4850580852
8	0.8996617813	0.4702289944
9	0.9019165727	0.4561350018
10	0.8974069899	0.441719601
11	0.9041713641	0.4300104145
12	0.9019165727	0.4172291944
13	0.9019165727	0.4058294266
14	0.9030439684	0.3971770355
15	0.9019165727	0.38857252
16	0.9041713641	0.3799286933
17	0.9041713641	0.3734459194
18	0.8985343856	0.3655293787
19	0.9019165727	0.359063856
20	0.8996617813	0.3526794196
21	0.9019165727	0.3477405346
22	0.9064261556	0.3422905564
23	0.9109357384	0.3377093572
24	0.9120631342	0.3332505365
25	0.9109357384	0.3281088371
26	0.9075535513	0.3254368703
27	0.9109357384	0.3211200639
28	0.9109357384	0.3167815194
29	0.9120631342	0.3129541648
30	0.9109357384	0.3105840876
31	0.9098083427	0.307011041
32	0.9131905299	0.3038178538
33	0.9143179256	0.3001257431
34	0.9154453213	0.2969167767
35	0.9154453213	0.2937382746
36	0.9199549042	0.2905814747
37	0.9199549042	0.2877407211
38	0.9233370913	0.2852408635
39	0.9233370913	0.2828763179
40	0.9233370913	0.2805108188
41	0.924464487	0.2776224778
42	0.924464487	0.2750314004
43	0.924464487	0.2723409963
44	0.9255918828	0.2701627798
45	0.9267192785	0.2677058481
46	0.9301014656	0.265349595
47	0.9289740699	0.2630615459
48	0.9289740699	0.260860473
49	0.9278466742	0.2590543737
50	0.9289740699	0.2563851689
51	0.9301014656	0.2544722064
52	0.9301014656	0.2528860142
53	0.9334836528	0.2506701524
54	0.9334836528	0.2492598871
55	0.932356257	0.2469462027
56	0.932356257	0.2452368076
57	0.9334836528	0.2437307905
58	0.9334836528	0.242365003
59	0.9334836528	0.2408737817
60	0.932356257	0.2393955541
61	0.932356257	0.2378784225
62	0.932356257	0.2358650477
63	0.932356257	0.2345007095
64	0.9334836528	0.2326997345
65	0.932356257	0.2311470229
66	0.9334836528	0.2293841934
67	0.9334836528	0.227405947
68	0.9334836528	0.2260465382
69	0.932356257	0.2248183821
70	0.932356257	0.2237439149
71	0.9334836528	0.2224477982
72	0.9334836528	0.2216048964
73	0.9334836528	0.2206111288
74	0.9334836528	0.2195831549
75	0.9334836528	0.2179836961
76	0.9334836528	0.2168113805
77	0.9346110485	0.2160223278
78	0.9357384442	0.2145534835
79	0.9357384442	0.2134295422
80	0.9346110485	0.2126744739
81	0.9346110485	0.2117926166
82	0.9357384442	0.2107094897
83	0.9357384442	0.2102656022
84	0.9357384442	0.2099493137
85	0.9357384442	0.2098611591
86	0.9346110485	0.2087650372
87	0.9346110485	0.2087332601
88	0.9346110485	0.20869195
89	0.9346110485	0.2083294769
90	0.9346110485	0.2075779423
91	0.9346110485	0.2075336257
92	0.9346110485	0.2069197881
93	0.9357384442	0.2059344235
94	0.9357384442	0.2057018652
95	0.9346110485	0.2052289986
96	0.9346110485	0.2051849939
97	0.9346110485	0.2051243154
98	0.9346110485	0.2050500162
99	0.9357384442	0.2043928066
