iter	Passed	Remaining
0	1	134
1	2	104
2	2	93
3	3	87
4	3	73
5	4	71
6	5	70
7	5	68
8	6	67
9	7	66
10	8	65
11	8	64
12	9	63
13	10	62
14	10	61
15	11	60
16	12	60
17	13	59
18	13	56
19	13	55
20	14	55
21	15	54
22	16	53
23	16	53
24	17	52
25	18	51
26	18	49
27	19	48
28	19	48
29	20	47
30	20	46
31	21	45
32	22	44
33	22	44
34	23	43
35	24	42
36	24	42
37	25	41
38	26	40
39	26	40
40	27	39
41	28	38
42	28	38
43	29	37
44	30	36
45	30	36
46	31	35
47	32	34
48	32	34
49	33	33
50	34	32
51	35	32
52	35	31
53	36	30
54	37	30
55	37	29
56	38	28
57	39	28
58	39	27
59	40	26
60	41	26
61	41	25
62	42	24
63	43	24
64	43	23
65	44	22
66	45	22
67	46	21
68	46	21
69	47	20
70	48	19
71	48	18
72	49	18
73	50	17
74	50	16
75	51	16
76	52	15
77	52	14
78	53	14
79	54	13
80	54	12
81	55	12
82	56	11
83	57	10
84	57	10
85	58	9
86	59	8
87	59	8
88	59	7
89	60	6
90	60	6
91	61	5
92	62	4
93	63	4
94	64	3
95	64	2
96	65	2
97	66	1
98	67	0
99	67	0
