iter	RMSE
0	158039.8173
1	149841.8318
2	141783.4161
3	134587.7087
4	128077.5872
5	122099.3472
6	116798.1795
7	112004.2988
8	107566.8681
9	103169.7783
10	99321.6781
11	95957.41975
12	92413.18048
13	89356.80255
14	87003.91437
15	84424.1394
16	82093.83443
17	79714.48535
18	77973.46091
19	76213.73061
20	74682.2343
21	73159.5833
22	71898.92209
23	70775.7634
24	69732.07765
25	68911.52852
26	68094.42436
27	67397.1437
28	66654.565
29	65902.55704
30	65292.83281
31	64697.67654
32	64301.9385
33	63907.03486
34	63455.83279
35	63007.87884
36	62635.52056
37	62330.62256
38	62075.74539
39	61875.72269
40	61646.87243
41	61406.09489
42	61250.09125
43	61060.38092
44	60870.14471
45	60733.72681
46	60519.34649
47	60381.74413
48	60294.47825
49	60179.00325
50	60041.59634
51	59889.26106
52	59793.62096
53	59659.81351
54	59499.5179
55	59351.18811
56	59236.15376
57	59106.82326
58	59008.7548
59	58931.08677
60	58855.4517
61	58752.31987
62	58656.54458
63	58545.77642
64	58406.7355
65	58216.78467
66	58175.95945
67	58057.48888
68	57915.0503
69	57840.78269
70	57754.39789
71	57639.19103
72	57600.60695
73	57519.17818
74	57474.4946
75	57432.45089
76	57341.35504
77	57285.26177
78	57179.97158
79	57069.15468
80	56977.14342
81	56851.74259
82	56719.8057
83	56663.49471
84	56572.3473
85	56473.8552
86	56393.66338
87	56344.19334
88	56306.25278
89	56215.75163
90	56144.36048
91	56091.45179
92	56049.16785
93	56009.96079
94	55966.83155
95	55898.04371
96	55815.73514
97	55761.59674
98	55702.39825
99	55626.87436
