iter	Passed	Remaining
0	0	41
1	0	45
2	1	43
3	1	37
4	1	33
5	1	30
6	2	28
7	2	26
8	2	25
9	2	24
10	2	23
11	3	22
12	3	21
13	3	21
14	3	20
15	3	20
16	4	19
17	4	19
18	4	18
19	4	18
20	4	18
21	4	17
22	5	17
23	5	16
24	5	16
25	5	16
26	5	16
27	6	15
28	6	15
29	6	15
30	6	15
31	6	14
32	7	14
33	7	14
34	7	14
35	7	13
36	8	13
37	8	13
38	8	13
39	8	12
40	8	12
41	8	12
42	9	12
43	9	11
44	9	11
45	9	11
46	9	11
47	10	10
48	10	10
49	10	10
50	10	10
51	10	10
52	11	9
53	11	9
54	11	9
55	11	9
56	11	8
57	12	8
58	12	8
59	12	8
60	12	8
61	12	7
62	13	7
63	13	7
64	13	7
65	13	7
66	14	6
67	14	6
68	14	6
69	14	6
70	14	6
71	15	5
72	15	5
73	15	5
74	15	5
75	15	4
76	16	4
77	16	4
78	16	4
79	16	4
80	16	3
81	16	3
82	17	3
83	17	3
84	17	3
85	17	2
86	18	2
87	18	2
88	19	2
89	19	2
90	19	1
91	19	1
92	19	1
93	20	1
94	20	1
95	20	0
96	20	0
97	21	0
98	21	0
99	21	0
